Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-11,6.301417350769043,6.38809103021889,6.25163188998801,6.382092685444416,462229600
2010-01-12,6.229739665985107,6.291221916193658,6.190751615367001,6.2738263110810175,594459600
2010-01-13,6.317612648010254,6.326010331980727,6.121172032065067,6.2342384458401225,605892000
2010-01-14,6.281023025512695,6.311914100908726,6.268726819056608,6.301417397898439,432894000
2010-01-15,6.176055431365967,6.346104931752507,6.1742559276178275,6.326010473231623,594067600
2010-01-19,6.449272632598877,6.453771391240681,6.215343189578378,6.248032967771491,730007600
2010-01-20,6.350005149841309,6.464570375083941,6.283124781518197,6.445376064951455,612152800
2010-01-21,6.240237236022949,6.397390731242428,6.2144451435871915,6.36050209677134,608154400
2010-01-22,5.930729389190674,6.223141975388762,5.9130350677707,6.201548728723449,881767600
2010-01-25,6.090280532836914,6.139165445176153,6.003906362920053,6.0734855664759575,1065699600
2010-01-26,6.176355361938477,6.409385892316486,6.075585554367734,6.176655279230478,1867110000
2010-01-27,6.234538555145264,6.315513827156495,5.984112804164333,6.203647472313461,1722568400
2010-01-28,5.976912498474121,6.163157061868997,5.959218185810359,6.14606258356153,1173502400
2010-01-29,5.760080337524414,6.064189694332674,5.705796503602202,6.030599755170947,1245952400
2010-02-01,5.840154647827148,5.878243336295521,5.737285437492803,5.769375781187085,749876400
2010-02-02,5.874047756195068,5.887843956835056,5.799670241820084,5.875547743644926,698342400
2010-02-03,5.97511625289917,6.004207834616055,5.8308592149524285,5.853352615152895,615328000
2010-02-04,5.759779453277588,5.949322350390838,5.745383425262699,5.900136722187099,757652000
2010-02-05,5.862048149108887,5.878243680948505,5.7237894973481325,5.77717396812047,850306800
2010-02-08,5.821861267089844,5.934627768971494,5.818262259501862,5.868947482185346,478270800
2010-02-09,5.883941650390625,5.923229606632807,5.840754369696911,5.890839346324293,632886800
2010-02-10,5.851853847503662,5.896241219857683,5.826061753358664,5.874946685195958,370361600
2010-02-11,5.958319187164307,5.990709848250405,5.820060544664287,5.844653357609174,550345600
2010-02-12,6.00960636138916,6.047395145682316,5.863249901694698,5.941526325938789,655468800
2010-02-16,6.1001763343811035,6.108873532520589,6.04379310358815,6.056389225221382,543737600
2010-02-17,6.074685573577881,6.127469409807237,6.023999956904297,6.123870402676077,436396800
2010-02-18,6.086082935333252,6.114874598140544,6.0258007542144325,6.047094083464997,422825200
2010-02-19,6.0482940673828125,6.094180616658827,6.03149909782669,6.053992896906755,415469600
2010-02-22,6.010804653167725,6.0731862489714965,5.973916027322339,6.068387972697071,390563600
2010-02-23,5.910034656524658,6.038096533853409,5.869547024447262,5.998208335920524,575094800
2010-02-24,6.018003463745117,6.041396213336692,5.933427982660138,5.945124757879575,460566400
2010-02-25,6.05819034576416,6.08398243030015,5.90493622363693,5.919631769536309,665126000
2010-02-26,6.136767387390137,6.153262438852178,6.058191055071087,6.069587512313919,507460800
2010-03-01,6.267829418182373,6.2831244013840735,6.161660683960263,6.170657803565441,550093600
2010-03-02,6.263630390167236,6.323012418905916,6.23033996746918,6.296020260041699,566546400
2010-03-03,6.278025150299072,6.29422068569066,6.236338244226479,6.266329175585803,372052800
2010-03-04,6.319413661956787,6.325711926439825,6.257032053110189,6.276527081695683,366041200
2010-03-05,6.566539287567139,6.589032685201613,6.43697781371788,6.4462752502485685,899620400
